Quantity,DK Part No.,Reference
200,445-8407-ND,C1
200,1276-1264-1-ND,C2
200,1276-1040-1-ND,C3
200,1N4001RLGOSCT-ND,D1
200,365-1189-ND,D2
200,732-5008-ND,D3
200,365-1167-ND,D4
200,475-LOT676-S1T1-24-ZCT-ND,D5
200,475-LGR971-KN-1CT-ND,D6
800,36-784-B-ND,E1 E2 E3 E4
200,2N7000-G-ND,Q1
200,2N7002ET1GOSCT-ND,Q2
200,DMG3402L-7DICT-ND,Q3
200,13-CFR-50JB-52-390R-ND,R1
800,CF14JT390RCT-ND,R2 R3 R4 R5
600,S100KQCT-ND,R6 R7 R8
600,RMCF1206JT100KCT-ND,R9 R10 R11
600,311-100KGRCT-ND,R12 R13 R14
200,296-NE555P-ND,U1
200,296-6501-1-ND,U2
200,296-29904-1-ND,U3
